Year,StationID,Replicate,SampleDate,Matrix,Parameter,Field1,Qualifier,Result_Units,Result,MDL,RL,Class,latitude,longitude
2013,B13-9071,1,7/24/13,Sediment,Zinc,,,ug/g dw,83.5,0.25,0.25,METAL,32.90256,-117.50521
2013,B13-9073,1,7/17/13,Sediment,Zinc,,,ug/g dw,67,0.25,0.25,METAL,32.90951,-117.2978
2013,B13-9074,1,7/17/13,Sediment,Zinc,,,ug/g dw,85.1,0.25,0.25,METAL,32.90951,-117.3123
2013,B13-9076,1,7/17/13,Sediment,Zinc,,,ug/g dw,88.9,0.25,0.25,METAL,32.91632,-117.36379
2013,B13-9080,1,7/25/13,Sediment,Zinc,,,ug/g dw,24.9,0.25,0.25,METAL,32.92487,-117.26565
2013,B13-9084,1,7/17/13,Sediment,Zinc,,,ug/g dw,90.1,0.25,0.25,METAL,32.93167,-117.39472
2013,B13-9085,1,7/29/13,Sediment,Zinc,,,ug/g dw,108,0.25,0.25,METAL,32.93232,-117.53423
2013,B13-9087,1,7/25/13,Sediment,Zinc,,,ug/g dw,24.8,0.25,0.25,METAL,33.00268,-117.29807
2013,B13-9091,1,7/25/13,Sediment,Zinc,,,ug/g dw,90,0.25,0.25,METAL,33.01783,-117.34105
2013,B13-9092,1,7/25/13,Sediment,Zinc,,,ug/g dw,71,0.25,0.25,METAL,33.0268,-117.337
2013,B13-9093,1,7/29/13,Sediment,Zinc,,,ug/g dw,135,0.25,0.25,METAL,33.03243,-117.66875
2013,B13-9095,1,7/23/13,Sediment,Zinc,,,ug/g dw,123,0.25,0.25,METAL,33.03868,-117.50238
2013,B13-9099,1,7/23/13,Sediment,Zinc,,,ug/g dw,105,0.25,0.25,METAL,33.06344,-117.49002
2013,B13-9100,1,7/25/13,Sediment,Zinc,,,ug/g dw,40.1,0.25,0.25,METAL,33.06737,-117.36733
2013,B13-9104,1,7/25/13,Sediment,Zinc,,,ug/g dw,58.1,0.25,0.25,METAL,33.0834,-117.34258
2013,B13-9105,1,7/23/13,Sediment,Zinc,,,ug/g dw,52.4,0.25,0.25,METAL,33.08764,-117.35097
2013,B13-9106,1,7/23/13,Sediment,Zinc,,,ug/g dw,114,0.25,0.25,METAL,33.09091,-117.43286
2013,B13-9107,1,7/23/13,Sediment,Zinc,,,ug/g dw,94.8,0.25,0.25,METAL,33.09383,-117.41715
2013,B13-9109,1,7/25/13,Sediment,Zinc,,,ug/g dw,138,0.25,0.25,METAL,33.10192,-117.6311
2013,B13-9111,1,7/25/13,Sediment,Zinc,,,ug/g dw,55.4,0.25,0.25,METAL,33.10526,-117.36216
2013,B13-9121,1,7/25/13,Sediment,Zinc,,,ug/g dw,52.5,0.25,0.25,METAL,33.17577,-117.38153
2013,B13-9122,1,7/30/13,Sediment,Zinc,,,ug/g dw,73.7,0.15,0.15,METAL,33.188367,-117.495459
2013,B13-9125,1,7/30/13,Sediment,Zinc,,,ug/g dw,70,0.15,0.15,METAL,33.221016,-117.511475
2013,B13-9129,1,7/30/13,Sediment,Zinc,,,ug/g dw,50.7,0.15,0.15,METAL,33.265584,-117.533447
2013,B13-9130,1,7/30/13,Sediment,Zinc,,,ug/g dw,41.7,0.15,0.15,METAL,33.269019,-117.539502
2013,B13-9131,1,7/30/13,Sediment,Zinc,,,ug/g dw,17.3,0.15,0.15,METAL,33.269751,-117.564827
2013,B13-9132,1,9/9/13,Sediment,Zinc,,,ug/g dw,103,0.15,0.15,METAL,33.274032,-118.086377
2013,B13-9133,1,9/9/13,Sediment,Zinc,,,ug/g dw,117,0.15,0.15,METAL,33.317468,-118.160612
2013,B13-9135,1,7/30/13,Sediment,Zinc,,,ug/g dw,5.36,0.15,0.15,METAL,33.353031,-117.564046
2013,B13-9137,1,7/30/13,Sediment,Zinc,,,ug/g dw,79.2,0.15,0.15,METAL,33.368766,-117.689876
2013,B13-9148,1,7/31/13,Sediment,Zinc,,,ug/g dw,80.2,4000,5000,METAL,33.46395,-118.39474
2013,B13-9149,1,7/16/13,Sediment,Zinc,,,ug/g dw,84.9,0.15,0.15,METAL,33.46425,-117.919678
2013,B13-9150,1,7/17/13,Sediment,Zinc,,,ug/g dw,41.2,0.15,0.15,METAL,33.464034,-117.761898
2013,B13-9151,1,7/15/13,Sediment,Zinc,,,ug/g dw,73.2,0.15,0.15,METAL,33.464168,-118.065837
2013,B13-9152,1,7/31/13,Sediment,Zinc,,,ug/g dw,25.8,0.15,0.15,METAL,33.474084,-117.736475
2013,B13-9155,1,7/31/13,Sediment,Zinc,,,ug/g dw,118,4000,5000,METAL,33.48691,-118.42353
2013,B13-9159,1,7/31/13,Sediment,Zinc,,,ug/g dw,16,0.15,0.15,METAL,33.500582,-117.753369
2013,B13-9160,1,7/16/13,Sediment,Zinc,,,ug/g dw,48,0.15,0.15,METAL,33.504268,-117.916016
2013,B13-9161,1,7/31/13,Sediment,Zinc,,,ug/g dw,45.5,0.15,0.15,METAL,33.504834,-117.772982
2013,B13-9163,1,7/17/13,Sediment,Zinc,,,ug/g dw,91.3,0.15,0.15,METAL,33.508065,-117.813949
2013,B13-9166,1,7/31/13,Sediment,Zinc,,,ug/g dw,37.5,0.61,2,METAL,33.512166,-117.771484
2013,B13-9170,1,7/15/13,Sediment,Zinc,,,ug/g dw,94.9,0.15,0.15,METAL,33.515133,-118.077604
2013,B13-9171,1,7/17/13,Sediment,Zinc,,,ug/g dw,7.18,0.15,0.15,METAL,33.520951,-117.770247
2013,B13-9173,1,7/17/13,Sediment,Zinc,,,ug/g dw,55.8,0.15,0.15,METAL,33.524382,-117.795638
2013,B13-9174,1,7/17/13,Sediment,Zinc,,,ug/g dw,82.6,0.15,0.15,METAL,33.536816,-117.847705
2013,B13-9177,1,7/17/13,Sediment,Zinc,,,ug/g dw,38.5,0.15,0.15,METAL,33.548165,-117.825244
2013,B13-9178,1,7/16/13,Sediment,Zinc,,,ug/g dw,86,0.15,0.15,METAL,33.553682,-117.928792
2013,B13-9179,1,7/18/13,Sediment,Zinc,,,ug/g dw,57.8,0.15,0.15,METAL,33.556099,-118.021956
2013,B13-9185,1,7/16/13,Sediment,Zinc,,,ug/g dw,48.1,0.15,0.15,METAL,33.564982,-118.019027
